user_id,date,session_type,lift,performed_exercise,weight_lb,sets,reps,decision,reason_code,acceptable_min,acceptable_max,bw_lb,readiness,planned_deload,variation,substituted_to,state_bucket
U301,2025-10-06,FB_A,bench,bench,115.0,3,5,decrease_small,cold_start_estimate_and_low_readiness,112.5,117.5,176.3,low,False,,,lift:bench
U301,2025-10-06,FB_A,squat,squat,152.5,3,5,decrease_small,cold_start_estimate_and_low_readiness,150.0,155.0,176.3,low,False,,,lift:squat
U301,2025-10-08,FB_B,deadlift,deadlift,172.5,2,5,decrease_small,cold_start_estimate_and_low_readiness,170.0,175.0,175.7,low,False,,,lift:deadlift
U301,2025-10-08,FB_B,ohp,ohp,70.0,3,5,decrease_small,cold_start_estimate_and_low_readiness,67.5,72.5,175.7,low,False,,,lift:ohp
U301,2025-10-10,FB_A,bench,bench,110.0,3,5,decrease_small,percent_1rm_rpe_target_and_low_readiness,107.5,112.5,175.4,low,False,,,lift:bench
U301,2025-10-10,FB_A,squat,squat,147.5,3,5,decrease_small,percent_1rm_rpe_target_and_low_readiness,145.0,150.0,175.4,low,False,,,lift:squat
U301,2025-10-13,FB_A,bench,bench,107.5,3,5,decrease_small,percent_1rm_rpe_target_and_low_readiness,105.0,110.0,176.9,low,False,,,lift:bench
U301,2025-10-13,FB_A,squat,squat,140.0,3,5,decrease_small,hold_at_target_rpe_and_low_readiness,137.5,142.5,176.9,low,False,,,lift:squat
U301,2025-10-15,FB_B,deadlift,deadlift,172.5,2,5,hold,hold_at_target_rpe,170.0,175.0,176.4,good,False,,,lift:deadlift
U301,2025-10-15,FB_B,ohp,ohp,70.0,3,5,prescribe,percent_1rm_rpe_target,67.5,72.5,176.4,good,False,,,lift:ohp
U301,2025-10-17,FB_A,bench,bench,105.0,3,5,decrease_small,percent_1rm_rpe_target_and_low_readiness,102.5,107.5,176.3,low,False,,,lift:bench
U301,2025-10-17,FB_A,squat,squat,140.0,3,5,decrease_small,percent_1rm_rpe_target_and_low_readiness,137.5,142.5,176.3,low,False,,,lift:squat
U301,2025-10-20,FB_A,bench,bench,107.5,3,5,prescribe,percent_1rm_rpe_target,105.0,110.0,176.0,ok,False,,,lift:bench
U301,2025-10-20,FB_A,squat,squat,145.0,3,5,prescribe,percent_1rm_rpe_target,142.5,147.5,176.0,ok,False,,,lift:squat
U301,2025-10-22,FB_B,deadlift,deadlift,172.5,2,5,decrease_small,increase_after_exceeding_reps_target_and_low_readiness,170.0,175.0,176.6,low,False,,,lift:deadlift
U301,2025-10-22,FB_B,ohp,ohp,67.5,3,5,decrease_small,hold_at_target_rpe_and_low_readiness,65.0,70.0,176.6,low,False,,,lift:ohp
U301,2025-10-24,FB_A,bench,bench,107.5,3,5,prescribe,percent_1rm_rpe_target,105.0,110.0,176.3,ok,False,,,lift:bench
U301,2025-10-24,FB_A,squat,squat,145.0,3,5,hold,hold_at_target_rpe,142.5,147.5,176.3,ok,False,,,lift:squat
U301,2025-10-27,FB_A,bench,bench,107.5,3,5,hold,hold_at_target_rpe,105.0,110.0,177.1,ok,False,,,lift:bench
U301,2025-10-27,FB_A,squat,squat,140.0,3,5,prescribe,percent_1rm_rpe_target,137.5,142.5,177.1,ok,False,,,lift:squat
U301,2025-10-29,FB_B,deadlift,deadlift,167.5,2,5,decrease_small,decrease_small_after_grind_or_miss,165.0,170.0,177.0,good,False,,,lift:deadlift
U301,2025-10-29,FB_B,ohp,ohp,67.5,3,5,prescribe,percent_1rm_rpe_target,65.0,70.0,177.0,good,False,,,lift:ohp
U301,2025-10-31,FB_A,bench,bench,102.5,3,5,decrease_small,hold_at_target_rpe_and_low_readiness,100.0,105.0,176.8,low,False,,,lift:bench
U301,2025-10-31,FB_A,squat,squat,132.5,3,5,decrease_small,hold_at_target_rpe_and_low_readiness,130.0,135.0,176.8,low,False,,,lift:squat
U301,2025-11-03,FB_A,bench,bench,97.5,3,5,decrease_small,percent_1rm_rpe_target_and_low_readiness,95.0,100.0,176.9,low,False,,,lift:bench
U301,2025-11-03,FB_A,squat,squat,127.5,3,5,decrease_small,percent_1rm_rpe_target_and_low_readiness,125.0,130.0,176.9,low,False,,,lift:squat
U301,2025-11-05,FB_B,deadlift,deadlift,167.5,2,5,decrease_small,increase_after_exceeding_reps_target_and_low_readiness,165.0,170.0,177.7,low,False,,,lift:deadlift
U301,2025-11-05,FB_B,ohp,ohp,67.5,3,5,decrease_small,increase_after_exceeding_reps_target_and_low_readiness,65.0,70.0,177.7,low,False,,,lift:ohp
U301,2025-11-07,FB_A,bench,bench,95.0,3,5,decrease_small,percent_1rm_rpe_target_and_low_readiness,92.5,97.5,177.7,low,False,,,lift:bench
U301,2025-11-07,FB_A,squat,squat,125.0,3,5,decrease_small,percent_1rm_rpe_target_and_low_readiness,122.5,127.5,177.7,low,False,,,lift:squat
U301,2025-11-10,FB_A,bench,bench,97.5,3,5,prescribe,percent_1rm_rpe_target,95.0,100.0,177.7,ok,False,,,lift:bench
U301,2025-11-10,FB_A,squat,squat,130.0,3,5,prescribe,percent_1rm_rpe_target,127.5,132.5,177.7,ok,False,,,lift:squat
U301,2025-11-12,FB_B,deadlift,deadlift,165.0,2,5,prescribe,percent_1rm_rpe_target,162.5,167.5,178.3,ok,False,,,lift:deadlift
U301,2025-11-12,FB_B,ohp,ohp,67.5,3,5,prescribe,percent_1rm_rpe_target,65.0,70.0,178.3,ok,False,,,lift:ohp
U301,2025-11-14,FB_A,bench,bench,92.5,3,5,decrease_small,percent_1rm_rpe_target_and_low_readiness,90.0,95.0,178.2,low,False,,,lift:bench
U301,2025-11-14,FB_A,squat,squat,122.5,3,5,decrease_small,hold_at_target_rpe_and_low_readiness,120.0,125.0,178.2,low,False,,,lift:squat
U301,2025-11-17,FB_A,bench,bench,90.0,3,5,decrease_small,percent_1rm_rpe_target_and_low_readiness,87.5,92.5,177.7,low,False,,,lift:bench
U301,2025-11-17,FB_A,squat,squat,115.0,3,5,decrease_small,decrease_small_after_grind_or_miss_and_low_readiness,112.5,117.5,177.7,low,False,,,lift:squat
U301,2025-11-21,FB_A,bench,bench,87.5,3,5,decrease_small,percent_1rm_rpe_target_and_low_readiness,85.0,90.0,178.5,low,False,,,lift:bench
