user_id,date,session_type,lift,sets,target_reps,prescribed_weight_lb,reason_code,body_weight_lb,sleep_hours,hrv_ms,rhr_bpm,soreness
U001,2025-11-17,A,bench,3.0,5.0,130.0,progress,131.8,7.2,63,64,5
U001,2025-11-17,A,squat,3.0,5.0,172.5,progress,131.8,7.2,63,64,5
U001,2025-11-19,B,deadlift,3.0,5.0,190.0,progress_and_low_readiness,131.9,6.7,51,57,7
U001,2025-11-19,B,ohp,3.0,5.0,85.0,progress_and_low_readiness,131.9,6.7,51,57,7
U001,2025-11-21,A,bench,3.0,5.0,135.0,progress,132.0,6.1,61,61,5
U001,2025-11-21,A,squat,3.0,5.0,182.5,progress,132.0,6.1,61,61,5
U001,2025-11-24,A,bench,3.0,5.0,135.0,hold_due_to_high_rpe,132.9,7.6,56,61,7
U001,2025-11-24,A,squat,3.0,5.0,192.5,progress,132.9,7.6,56,61,7
U001,2025-11-26,B,deadlift,3.0,5.0,190.0,hold_due_to_high_rpe,133.1,6.8,66,54,8
U001,2025-11-26,B,ohp,3.0,5.0,85.0,hold_due_to_high_rpe,133.1,6.8,66,54,8
U001,2025-11-28,A,bench,3.0,5.0,140.0,progress,132.9,5.9,67,54,4
U001,2025-11-28,A,squat,3.0,5.0,202.5,progress,132.9,5.9,67,54,4
U001,2025-12-01,A,bench,3.0,5.0,137.5,progress_and_low_readiness,133.5,6.6,50,66,8
U001,2025-12-01,A,squat,3.0,5.0,202.5,progress_and_low_readiness,133.5,6.6,50,66,8
U001,2025-12-03,B,deadlift,3.0,5.0,190.0,hold_due_to_high_rpe,133.8,6.7,64,60,7
U001,2025-12-03,B,ohp,3.0,5.0,85.0,hold_due_to_high_rpe,133.8,6.7,64,60,7
U001,2025-12-05,A,bench,3.0,5.0,125.0,deload_after_plateau,133.1,6.3,59,61,5
U001,2025-12-05,A,squat,3.0,5.0,202.5,hold_due_to_high_rpe,133.1,6.3,59,61,5
U001,2025-12-08,A,bench,3.0,5.0,130.0,progress,134.5,7.4,62,67,3
U001,2025-12-08,A,squat,3.0,5.0,212.5,progress,134.5,7.4,62,67,3
U001,2025-12-10,B,,,,,missed_session,134.7,6.0,50,61,5
U001,2025-12-12,A,,,,,missed_session,134.3,6.8,50,62,6
U001,2025-12-15,A,bench,3.0,5.0,120.0,reset_after_break,134.5,6.1,54,60,6
